dim,q,p_est_mh,p_est_bs,m_mh,m_bs,time_mh,time_bs
2,14,0.000727285,0.00134264,720,659,2.242,312.971
2,14,0.00108717,0.00144049,680,652,2.169,307.945
2,14,0.0010763,0.00108717,681,680,2.157,324.034
2,14,0.000788176,0.000657744,712,730,2.231,348.665
2,14,0.000925679,0.000954014,696,693,2.184,329.279
2,14,0.000705684,0.00185196,723,627,1.809,221.566
2,14,0.000677878,0.000907258,727,698,1.844,244.382
2,14,0.000664388,0.00226427,729,607,1.84,205.363
2,14,0.000772492,0.0010763,714,681,1.804,235.145
2,14,0.00115474,0.00271328,674,589,1.699,200.131
4,20.97056275,0.000309526,0.000543407,805,749,2.545,402.246
4,20.97056275,0.000532594,0.000804179,751,710,2.4,376.05
4,20.97056275,0.000285613,0.000712812,813,722,2.577,386.261
4,20.97056275,0.000253163,0.000898185,825,699,2.646,8924.42
4,20.97056275,0.000228956,0.000414263,835,776,2.182,301.77
4,20.97056275,0.000363524,0.000684725,789,726,2.028,283.324
4,20.97056275,0.000243187,0.00144049,829,652,2.127,250.051
4,20.97056275,0.000260912,0.000705684,822,723,2.099,277.054
4,20.97056275,0.000319,0.000588903,802,741,2.061,288.978
4,20.97056275,0.000204993,0.000804179,846,710,2.198,272.508
8,32,5.55E-05,0.000309526,976,805,2.56,362.472
8,32,0.000161059,0.000458062,870,766,2.27,341.812
8,32,4.73E-05,0.000219934,992,839,2.606,377.221
8,32,0.000108832,0.000444457,909,769,2.37,343.916
8,32,6.14E-05,0.000345708,966,794,2.551,349.373
8,32,1.52E-04,0.000294356,876,810,2.27,357.833
8,32,7.43E-05,0.000583014,947,742,2.467,321.489
8,32,4.87E-05,0.000342251,989,795,2.561,351.008
8,32,6.92E-05,0.000363524,954,789,2.504,346.214
8,32,1.07E-04,0.000370905,911,787,2.415,339.346
16,49.9411255,5.61E-06,0.000139919,1204,884,3.296,446.423
16,49.9411255,3.79E-05,0.000139919,1014,884,2.762,458.534
16,49.9411255,4.37E-06,0.000127818,1229,893,3.352,453.162
16,49.9411255,4.02E-05,0.000100424,1008,917,2.781,470.292
16,49.9411255,4.24E-06,0.00014713,1232,879,3.391,431.885
16,49.9411255,1.50E-05,0.000178087,1106,860,3.03,450.105
16,49.9411255,1.68E-05,0.00013852,1095,885,2.983,452.708
16,49.9411255,2.80E-05,9.74E-05,1044,920,2.887,467.078
16,49.9411255,3.32E-05,0.000134406,1027,888,2.823,450.609
16,49.9411255,3.46E-06,0.000191067,1252,853,3.478,437.843
25,67.4264068,1.63E-06,7.35E-05,1327,948,3.922,548.732
25,67.4264068,1.18E-05,6.72E-05,1130,957,3.403,550.662
25,67.4264068,2.73E-08,7.66E-05,1734,944,5.201,527.142
25,67.4264068,8.76E-09,6.85E-05,1847,955,5.453,542.344
25,67.4264068,3.80E-07,6.32E-05,1472,963,4.37,563.469
25,67.4264068,2.06E-09,6.39E-05,1991,962,5.896,553.907
25,67.4264068,3.02E-08,6.79E-05,1724,956,5.119,547.38
25,67.4264068,1.09E-07,5.72E-05,1596,973,4.74,570.595
25,67.4264068,1.52E-06,3.57E-05,1334,1020,3.901,608.271
25,67.4264068,6.81E-08,8.47E-05,1643,934,4.822,553.933
32,80,6.68E-09,7.89E-05,1874,941,5.661,566.07
32,80,7.56E-12,5.02E-05,2549,986,7.715,599.757
32,80,1.28E-09,3.07E-05,2038,1035,6.157,634.306
32,80,7.44E-07,4.06E-05,1405,1007,4.251,612.31
32,80,1.82E-06,4.32E-05,1316,1001,3.984,617.506
32,80,2.15E-11,4.45E-05,2445,998,7.559,611.806
32,80,6.35E-08,2.92E-05,1650,1040,5.084,643.784
32,80,4.00E-09,2.77E-05,1925,1045,5.866,649.987
32,80,9.99E-10,4.59E-05,2063,995,6.325,616.055
32,80,2.33E-12,3.32E-05,2666,1027,8.124,636.593
35,85.19960159,2.11E-12,3.39E-05,2676,1025,10.812,649.898
35,85.19960159,6.55E-19,5.02E-05,4167,986,16.818,631.133
35,85.19960159,9.48E-08,1.89E-05,1610,1083,6.509,698.671
35,85.19960159,2.46E-14,2.61E-05,3119,1051,12.632,688.563
35,85.19960159,2.35E-09,4.19E-05,1978,1004,8.036,631.299
35,85.19960159,1.61E-12,3.01E-05,2703,1037,10.89,664.295
35,85.19960159,3.11E-09,7.58E-05,1950,945,7.914,619.613
35,85.19960159,3.03E-12,6.20E-05,2640,965,10.658,643.961
35,85.19960159,1.22E-11,6.45E-05,2501,961,10.125,614.503
35,85.19960159,4.72E-13,4.82E-05,2825,990,11.357,643.655
45,101.9209979,1.82E-24,5.02E-05,5440,986,24.265,692.322
45,101.9209979,5.64E-29,1.25E-05,6473,1124,28.722,795.085
45,101.9209979,4.37E-25,1.41E-05,5582,1112,24.703,810.998
45,101.9209979,4.21E-38,1.50E-05,8564,1106,38.736,812.199
45,101.9209979,1.26E-26,2.14E-05,5935,1071,26.483,784.318
45,101.9209979,1.71E-25,1.91E-05,5675,1082,25.21,765.475
45,101.9209979,2.49E-15,2.69E-05,3347,1048,14.904,733.613
45,101.9209979,3.35E-21,3.68E-05,4692,1017,20.927,712.49
45,101.9209979,6.01E-23,3.43E-05,5092,1024,22.562,711.381
45,101.9209979,1.08E-33,2.11E-05,7554,1072,33.591,738.686
55,117.9285309,1.87E-97,1.61E-05,22162,1099,163.085,1044.76
55,117.9285309,4.99E-65,1.46E-05,14733,1109,117.074,1038.29
55,117.9285309,2.58E-106,1.17E-05,24192,1131,196.981,1107.04
55,117.9285309,9.05E-173,1.31E-05,39417,1120,335.16,1006.51
55,117.9285309,6.03E-64,1.82E-05,14485,1087,118.239,948.638
55,117.9285309,1.92E-199,2.29E-05,45528,1064,374.517,966.874
55,117.9285309,2.96E-95,1.91E-05,21658,1082,178.614,958.07
55,117.9285309,5.71E-117,1.86E-05,26633,1085,230.311,1010.65
55,117.9285309,8.54E-251,2.61E-05,57293,1051,475.073,944.067
55,117.9285309,1.57E-112,6.86E-06,25616,1184,212.573,1092.57
64,131.882251,0.00E+00,5.39E-06,193375,1208,1764.24,1167.33
64,131.882251,0.00E+00,1.73E-05,361029,1092,3359.95,1028.91
64,131.882251,7.46E-56,1.37E-05,12631,1115,113.808,1050.89
64,131.882251,8.74E-178,8.47E-06,40566,1163,378.186,1126.15
64,131.882251,0.00E+00,1.93E-05,214602,1081,1937.8,1035.4
64,131.882251,2.19E-114,1.31E-05,26041,1120,228.577,1032.94
64,131.882251,1.33E-271,1.04E-05,62060,1143,557.949,1107.57
64,131.882251,1.48942e-310,8.06E-06,70984,1168,636.121,1109.62
64,131.882251,1.99E-297,9.66E-06,67977,1150,614.115,1106.36
64,131.882251,0.00E+00,8.47E-06,318097,1163,2846.38,1096.49
