dim,q,p_est_mh,p_est_bs,m_mh,m_bs,time_mh,time_bs
1,9.485281374,0.00208934,0.00142609,615,653,1.395,5.299
1,9.485281374,0.00187067,0.00153003,626,646,1.42,5.006
1,9.485281374,0.00196707,0.00240501,621,601,1.413,4.651
1,9.485281374,0.00181511,0.00235715,629,603,1.426,4.709
1,9.485281374,0.00164155,0.00252895,639,596,1.439,4.58
1,9.485281374,0.00226427,0.00146974,607,650,1.375,5.115
1,9.485281374,0.00291104,0.00300015,582,579,1.321,4.53
1,9.485281374,0.0019474,0.00164155,622,639,1.413,5.018
1,9.485281374,0.00260636,0.00122652,593,668,1.339,5.23
1,9.485281374,0.00211045,0.0025545,614,595,1.395,4.605
2,14,0.000880311,0.00174358,701,633,1.738,5.445
2,14,0.00116641,0.00185196,673,627,1.68,5.387
2,14,0.00151473,0.00213176,647,613,1.582,5.333
2,14,0.00100318,0.00151473,688,647,1.711,5.549
2,14,0.00060693,0.00151473,738,647,1.842,5.57
2,14,0.00121426,0.00125142,669,666,1.678,5.715
2,14,0.000916422,0.000720013,697,721,1.731,6.214
2,14,0.000631826,0.00127683,734,664,1.827,5.78
2,14,0.000954014,0.000181511,693,629,1.711,5.369
2,14,0.00100318,0.00198694,688,620,1.701,5.317
4,20.97056275,0.000250631,0.000511607,826,755,2.078,7.101
4,20.97056275,0.000764767,0.000889203,715,700,1.821,6.62
4,20.97056275,0.000207064,0.000720013,845,721,2.154,6.694
4,20.97056275,0.000312652,0.000712812,804,722,2.039,6.782
4,20.97056275,0.000374652,0.000671099,786,728,1.992,6.741
4,20.97056275,0.000401959,0.00060086,779,739,1.968,6.823
4,20.97056275,0.000345708,0.000521995,794,753,1.985,6.929
4,20.97056275,0.000191067,0.000780295,853,713,2.132,6.591
4,20.97056275,0.000342251,0.000727285,795,720,2.079,6.845
4,20.97056275,0.000338828,0.000742052,796,718,2.021,6.705
8,32,0.000119135,0.000367196,900,788,2.342,8.116
8,32,0.000116764,0.000359889,902,790,2.37,8.3
8,32,7.06E-05,0.000260912,952,822,2.48,8.582
8,32,6.20E-05,0.000401959,965,779,2.484,8.028
8,32,0.000198905,0.00039396,849,781,2.187,8.057
8,32,0.00014276,0.000367196,882,788,2.289,8.072
8,32,3.79E-05,0.000583014,1014,742,2.625,7.657
8,32,6.08E-05,0.000537973,967,750,2.517,7.96
8,32,6.72E-05,0.000253163,957,825,2.492,8.617
8,32,9.55E-05,0.00038612,922,783,2.422,8.145
16,49.9411255,3.60E-05,0.000159448,1019,871,2.772,10.621
16,49.9411255,7.27E-05,0.000102463,950,915,2.572,11.104
16,49.9411255,2.41E-05,0.000161059,1059,870,2.897,10.383
16,49.9411255,4.97E-06,0.000127818,1216,893,3.352,10.741
16,49.9411255,1.65E-06,0.00012654,1326,894,3.598,10.739
16,49.9411255,3.46E-05,0.000133062,1023,889,2.764,10.807
16,49.9411255,6.59E-06,0.000164329,1188,868,3.226,10.399
16,49.9411255,1.36E-05,9.65E-05,1116,921,3.13,11.058
16,49.9411255,2.32E-05,0.000107744,1063,910,2.898,10.862
16,49.9411255,1.39E-05,0.000135763,1114,887,3.083,10.73
32,80,1.41E-09,6.58E-05,2029,959,6.409,14.67
32,80,1.02E-15,6.72E-05,3435,957,10.871,14.551
32,80,1.65E-10,5.07E-05,2242,985,7.083,15.094
32,80,2.71E-11,3.23E-05,2422,1030,7.588,15.654
32,80,4.80E-11,5.72E-05,2365,973,7.444,14.976
32,80,5.80E-08,5.17E-05,1659,983,5.194,15.348
32,80,2.97E-13,3.94E-05,2871,1010,9.066,15.504
32,80,3.98E-13,4.15E-05,2842,1005,8.934,15.435
32,80,1.75E-08,3.75E-05,1778,1015,5.635,15.624
32,80,6.10E-05,7.89E-05,1883,941,5.949,14.387
64,131.882251,0.00E+00,9.66E-06,85289,1150,736.554,33.853
64,131.882251,7.63E-154,1.11E-05,35081,1136,305.554,32.565
64,131.882251,0.00E+00,1.27E-05,87261,1123,747.731,33.637
64,131.882251,0.00E+00,1.84E-05,122242,1086,1038.71,30.696
64,131.882251,0.00E+00,9.66E-06,76698,1150,644.752,32.905
64,131.882251,0.00E+00,1.71E-05,118038,1093,1001.54,31.463
64,131.882251,0.00E+00,2.56E-05,246637,1053,2069.05,29.675
64,131.882251,0.00E+00,2.29E-05,195759,1064,1671.44,30.393
64,131.882251,0.00E+00,8.06E-06,88560,1168,741.349,33.263
64,131.882251,0.00E+00,1.18E-05,234229,1130,1995.82,31.959
