dim,q,p_est_mh,p_est_bs,m_mh,m_bs,time_mh,time_bs
2,14,0.000898185,0.000871508,699,702,1.783,11.636
2,14,0.000845623,0.00183344,705,628,1.793,10.391
2,14,0.00122652,0.000657744,668,730,1.713,12.358
2,14,0.000521995,0.000907258,753,698,1.908,11.491
2,14,0.000657744,0.000854165,730,704,1.865,11.63
2,14,0.000543407,0.00119009,749,671,1.901,11.001
2,14,0.000812302,0.00128973,709,663,1.803,10.961
2,14,0.00128973,0.00109815,663,679,1.685,11.173
2,14,0.000638208,0.00119009,733,671,1.857,11.087
2,14,0.000651167,0.00185196,731,627,1.857,10.443
2,14,0.001013313,0.000742052,687,718,1.75,11.92
2,14,0.000705684,0.001131765,723,676,1.824,11.371
2,14,0.001264064,0.001202113,665,670,1.682,11.314
2,14,0.000749548,0.001214255,717,669,1.793,11.139
2,14,0.001013313,0.00061306,687,737,1.804,12.263
2,14,0.00122652,0.000467362,668,764,1.696,12.558
2,14,0.001369896,0.000812302,657,709,1.646,11.715
2,14,0.000796138,0.00100318,711,688,1.801,11.297
2,14,0.000880311,0.000889203,701,700,1.793,11.852
2,14,0.000677878,0.000993148,727,689,1.839,11.392
4,20.97056275,0.00030643,0.000211268,806,843,2.147,15.906
4,20.97056275,0.000243187,0.000367196,829,788,2.136,14.73
4,20.97056275,0.000338828,0.000374652,796,786,2.053,14.609
4,20.97056275,0.000245644,0.000338828,828,796,2.135,15.179
4,20.97056275,0.000288498,0.000300332,812,808,2.144,14.949
4,20.97056275,0.000322222,0.000328765,801,799,2.065,14.891
4,20.97056275,0.000274359,0.000217735,817,840,2.126,15.813
4,20.97056275,0.00039396,0.000651167,781,731,2.025,13.532
4,20.97056275,0.000209155,0.000491448,844,759,2.181,14.14
4,20.97056275,0.000406019,0.000359889,778,790,2.012,15.006
4,20.97056275,0.000279929,0.00060693,815,738,2.1,13.74
4,20.97056275,0.000332086,0.000588903,798,741,2.063,14.214
4,20.97056275,0.000187265,0.000352727,855,792,2.189,15.202
4,20.97056275,0.000367196,0.00060693,788,738,2.002,13.814
4,20.97056275,0.00035629,0.000406019,791,778,2.017,14.803
4,20.97056275,0.000181703,0.000352727,858,792,2.179,14.826
4,20.97056275,0.00025572,0.000414263,824,776,2.152,14.571
4,20.97056275,0.000516775,0.000414263,754,776,1.93,14.436
4,20.97056275,0.000342251,0.000303366,795,807,2.039,15.283
4,20.97056275,0.000406019,0.00031581,778,803,1.974,15.365
8,32,0.000122782,0.000240756,897,830,2.37,19.011
8,32,0.000108832,9.84257E-05,909,919,2.406,21.125
